"","convergence","mu","x_C","x_P","x_N","x_Ace","x_H2O","C","P","N","W","H2O","ADP","ATP","AA","NT","Lip","DNA","tRNA","mRNA","rRNA","TC","P","tau tC","tau tP","tau tN","tau tAce","tau tH2O","tau Res","tau Fer","tau NTS","tau AAS","tau LipS","tau Deg","tau DNAp","tau tRNAp","tau mRNAp","tau rRNAp","tau tRNAc","tau r","v tC","v tP","v tN","v tAce","v tH2O","v Res","v Fer","v NTS","v AAS","v LipS","v Deg","v DNAp","v tRNAp","v mRNAp","v rRNAp","v tRNAc","v r","p tC","p tP","p tN","p tAce","p tH2O","p Res","p Fer","p NTS","p AAS","p LipS","p Deg","p DNAp","p tRNAp","p mRNAp","p rRNAp","p tRNAc","p r","f tC","f tP","f tN","f tAce","f tH2O","f Res","f Fer","f NTS","f AAS","f LipS","f Deg","f DNAp","f tRNAp","f mRNAp","f rRNAp","f tRNAc","f r"
"1",4,0.390504365468716,5,1,1,1,1000,16.9049126270296,12.1454207949839,3.37769529569487,7.77727667152448,770,2.19694354983882,2.41086336260402,4.1087018616312,6.85060202966971,55.0000000000002,7.39475686272787,2.06785137114158,4.94717170318667,22.1789693450319,9.12234109392883,173.516483633724,0.106314499533086,0.4,0.285714285714286,0.0624461638239473,2.43127093388638e-05,0.412375185785049,0.229496075847584,0.0243487713817555,0.0256231001491633,0.0566130229124365,0.369702885888006,0.318247257026323,0.029336461416602,4.73777839857268,0.601527657144845,0.0824299601364722,0.609202021640046,151.906160135638,7.97066006173451,7.03281078336376,38.0431942019418,300.688361410911,8.13036329778278e-14,273.868364624201,180.905521173779,142.845150629294,21.4777401007794,1.40802854333548,2.88768483647498,54.5382047793081,2.07269500115124,9.78740718550015,88.6568071141029,84.6986804246875,16.1498273908132,3.1882640246938,2.0093745095325,2.3756515375207,0.00731054873256272,3.35276007542312e-14,62.8517149800494,4.40482717675768,3.66013560039672,1.21591979243278,0.520552215883812,0.918997778364667,1.59995794023891,9.81996960328394,5.88739611381653,7.30797707624241,51.5986073449639,0.3536362750989,0.018555630211405,0.016372324905609,0.0885642391225353,0.7,1.89274180142625e-16,0.637563270947354,0.421146545970203,0.332542320465343,0.0500000000000002,0.00327787871705456,0.00672250623884352,0.126964486308616,0.00482521669278424,0.0227850023782181,0.206392308264513,0.197177822311049
"2",4,0.384085664955657,3.75657400450789,1,1,1,1000,15.732792164564,12.1504810788682,3.47626403016531,7.7665804424982,770,2.21761612961464,2.43012462610917,4.1012869094864,6.81313039408852,55.0000000000021,7.35806162735257,2.05296553149705,4.94234727940707,22.1040301642261,9.0859003402395,174.768421530472,0.121433853189355,0.4,0.285714285714286,0.0626493980509189,2.43127093388638e-05,0.41663913147785,0.23206442959112,0.0250082790549609,0.0262033232689004,0.0583178140161062,0.371232263069764,0.319525502178015,0.0294292016257764,4.76284864369277,0.60414627955098,0.0824160121232835,0.609318716916734,149.513897630055,7.86390250519747,6.98296838872967,37.6124982249636,295.745962015856,1.09557046131041e-14,270.636869591014,178.662531284871,141.194630178555,21.124711572562,1.41233992195733,2.82612599292642,53.9885436174463,2.03951873344858,9.61971306139255,87.7850723836461,83.9075567459775,18.1560486945763,3.14556100207899,1.99513382535133,2.35640037298522,0.00719038561263418,4.56457525473157e-15,62.8051907679651,4.46804243903774,3.69976853840151,1.23194700063256,0.524306145451995,0.903019327108154,1.58883973559985,9.71391903339157,5.81171385638828,7.2348955898139,51.1264448160771,0.353883879352602,0.0186130411252854,0.0165279614936846,0.0890248799273984,0.7,2.59310158519145e-17,0.640569384015978,0.42287567021018,0.334193036656539,0.0500000000000019,0.00334286202466267,0.00668914693395688,0.127785279888914,0.00482732918374543,0.0227688624962993,0.207778156123253,0.1986004790119
"3",4,0.376092044449303,2.82236965026889,1,1,1,1000,14.4156236564453,12.1539328351484,3.60064849221109,7.75030068920679,770,2.2420730821364,2.45231245078177,4.09264411979695,6.76243071457584,55,7.30844058820041,2.03321530160767,4.93478255672275,21.9997745214671,9.03841117576815,176.215399569012,0.140110032835682,0.4,0.285714285714286,0.0629614283098569,2.43127093388638e-05,0.422563458810404,0.235615642332535,0.0258904272330915,0.0269702474928008,0.0605766944908323,0.373354454814575,0.321278867511762,0.0295579911481635,4.79692148718179,0.607717568785228,0.0824530625728788,0.610025802936279,146.513059264754,7.72678519199748,6.9152420184534,37.04471566072,289.590874225963,1.29732649064966e-13,266.396947280137,175.731484883048,139.026669141861,20.6850624447117,1.41594373232723,2.74864636255256,53.2550580843044,1.99752683390334,9.40669516306404,86.6184840677206,82.8415123592006,20.5279495444409,3.09071407679899,1.97578343384383,2.33238820933145,0.00704073875224331,5.48202769095282e-14,62.767287848836,4.54976322192766,3.74958367485571,1.25303270823709,0.528648900231149,0.883081990551209,1.5741125354508,9.58197939077313,5.71661391480104,7.14195928680368,50.535460093377,0.354151841833602,0.0186772102154637,0.0167155454254414,0.0895446067898887,0.7,3.13590179898474e-16,0.64393556459445,0.424778714960987,0.336055715358511,0.05,0.00342262378011151,0.00664403689836401,0.128728299048282,0.00482842833866819,0.0227378940436048,0.209374480495865,0.200244772237513
"4",4,0.366293923888332,2.12048809186242,1,1,1,1000,12.992668279862,12.1543158501171,3.75514140960224,7.72642814035866,770,2.27032123214663,2.47710687421979,4.08306353668814,6.69484214618728,55.0000000000001,7.24233195697772,2.00734982118407,4.9233789269411,21.8570699339868,8.97727718483167,177.838697489591,0.162971278499743,0.4,0.285714285714286,0.0634249923348735,2.43127093388638e-05,0.43071045605582,0.240475195593848,0.0270622632853529,0.0279734727535337,0.0635529859346945,0.376271712283724,0.323660223390355,0.0297346984781403,4.84281204086991,0.61254122381925,0.0825706177506473,0.611660019755952,142.806578884615,7.55321002632078,6.82430112945692,36.3070978008984,282.046321394016,8.83648738306371e-15,260.914943213811,171.957455169468,136.220391194454,20.1461658138583,1.41790776891889,2.65282219062323,52.2905804060611,1.94519456283027,9.14043812595683,85.0802341098324,81.4265429033155,23.2733707390001,3.02128401052831,1.94980032270198,2.30277739972349,0.00685731023214847,3.80596751069087e-15,62.7435720026989,4.6535579256754,3.81055740155375,1.28034899260616,0.533518584071505,0.858613022832007,1.55484464162117,9.4202116507091,5.59889515591773,7.02512748881856,49.8053608409008,0.354426197530799,0.0187460236754456,0.016936972505117,0.0901092002725484,0.7,2.19309407673624e-17,0.647554839031284,0.426774644759403,0.33808018968242,0.0500000000000001,0.00351905117335908,0.00658393814270702,0.129777995697055,0.00482770414182781,0.0226853045150389,0.2111573857178,0.202089428965445
"5",4,0.354491587332462,1.59315408855178,1,1,1,1000,11.517114430852,12.1497569202931,3.94372407637132,7.69273224479058,770.000000000001,2.30221466258191,2.50402025798544,4.07316898638925,6.60658852812089,55.0000000000025,7.15595723468893,1.97398867490676,4.90686460821032,21.6658855130657,8.89977900572015,179.608206903822,0.190802374861566,0.4,0.285714285714286,0.0640917567769042,2.43127093388638e-05,0.441772413765397,0.247040407818373,0.028606560867475,0.029271433665622,0.0674525478299814,0.380236195900411,0.32685029416462,0.0299728521617286,4.90384008671785,0.618969191396103,0.0828032709308284,0.614625264013617,138.307940410989,7.33732833514923,6.70430449857942,35.3673486990768,272.958522245996,5.88783792157765e-14,253.962383756375,167.190494426945,132.657187268633,19.4970373032863,1.41708078208749,2.5367266390081,51.0474778412432,1.88115030199871,8.81403877216005,83.0924388281422,79.5869979540913,26.3894834926286,2.93493133405969,1.91551557102269,2.26675551066519,0.0066363612129327,2.6010843704748e-14,62.738970853701,4.78274505528764,3.88306605740177,1.31512484124285,0.538825405864527,0.829129848175025,1.5300385065647,9.22486026008264,5.45561845173781,6.88032572458995,48.9161796295845,0.354689633762158,0.0188165212514437,0.0171931365629836,0.0906992897149483,0.700000000000001,1.50993143983612e-16,0.651284551098386,0.428758718122706,0.340198321429786,0.0500000000000023,0.003634092606082,0.00650541566789903,0.130910858524749,0.00482419526807213,0.0226035336421981,0.213089910881333,0.204100235117979
"6",4,0.340535587173499,1.19696024684582,1,1,1,1000,10.0465901012713,12.1380809928035,4.17020589749136,7.64695343914011,770,2.33752890700604,2.53250417480248,4.06405083775145,6.49415636864964,55.0000000000002,7.04568012364331,1.93170288723615,4.88388356368423,21.4161375849953,8.80328342031678,181.489237203975,0.224651045950935,0.4,0.285714285714286,0.0650217705972646,2.43127093388638e-05,0.456598693965411,0.255793847944068,0.0306262604860093,0.0309332450083203,0.0725402908214484,0.385555565546388,0.331055764015611,0.0302871135482535,4.98380634369669,0.627401622112174,0.0831882450539399,0.619372449460203,132.950684710208,7.07422457302535,6.54952935359058,34.1976964010375,262.212402123594,8.63501426576412e-15,245.34504120349,161.305147223372,128.235645991349,18.7294572945425,1.41217272791442,2.39930481794152,49.4833353752295,1.80435342983765,8.42269516982633,80.5853536001487,77.2544299461573,29.8675103800412,2.82968982921014,1.87129410102588,2.22359477034316,0.00637509391787622,3.94273623612059e-15,62.7577521634365,4.94017345659709,3.96674465625064,1.35864027907401,0.544471054760229,0.794303689609968,1.49870739725589,8.99254806989577,5.28441261210541,6.70375414304757,47.8492655074031,0.354924017870364,0.0188852897918369,0.0174845678937506,0.091293879644346,0.7,2.3051960689433e-17,0.654971036654065,0.430618849992987,0.342336790582597,0.0500000000000002,0.00376992431149063,0.00640516374876665,0.13210029152753,0.00481688657995291,0.0224851554355518,0.215129975025038,0.206237769549971
"7",-1,0.000243783269999215,0.899293949546068,1,1,1,1000,4.02675174299702,11.2751163967011,4.06333400574175,0.0766044555684062,771.101561214653,2.94173006108566,2.6476033783027,3.38233975048277,1.14867936280091,57.7931223152336,7.43386443779401,2.06456871331556e-05,8.24319960539017,18.7568974075159,2.06933924153479,205.138178539338,0.174765088572351,0.4,0.285714285714286,-0.0363695100403193,2.43127093388638e-05,0.60341186459326,0.334926454768774,0.0661966580893751,0.0674693672711266,0.141373139470719,10658.3192543404,0.835272395055124,0.0422932202395362,23.2581716376642,1.76000170616875,2836.76141525968,0.997180418480988,0.0977455207206803,0.00508382764288289,0.00485238148889267,0.0274707139210341,0.187974555338773,0.000710475563480697,0.183215227000495,0.119419911074631,0.0965452159468485,0.0140889963414723,0.00243853039253076,0.0018122517813763,0.0381431658256363,0.00225340719431133,0.00652344209906865,0.0630720924986577,0.0625115699575032,0.0170825045863003,0.00203353105715316,0.00138639471111219,-0.000999096405765788,4.57017072705377e-06,0.000428709384507835,0.0613636264389319,0.00790519902247091,0.00651384463298815,0.00199180564478541,25.9906354350048,0.0015137238858731,0.00161319731289679,0.0524101312948404,0.0114812692244539,178.920478379882,0.0623353134901266,0.364502306872057,0.0189580749062263,0.0180949902715127,0.102440894700976,0.700974924979204,0.00264943068445026,0.683226938721897,0.445328161865829,0.360026256657322,0.0525392021047578,0.00909351085248279,0.00675805857981274,0.142239478927921,0.00840316890833026,0.0243265335979098,0.235201808180091,0.233111566521975
"8",-1,0.000243777900515923,0.675652854655197,1,1,1,1000,4.02675174299702,11.2751163967011,4.06333400574175,0.0766044555684062,771.101561214653,2.94173006108566,2.6476033783027,3.38233975048277,1.14867936280091,57.7931223152336,7.43386443779401,2.06456871331556e-05,8.24319960539017,18.7568974075159,2.06933924153479,205.138178539338,0.220991245928845,0.4,0.285714285714286,-0.0363695100403193,2.43127093388638e-05,0.60341186459326,0.334926454768774,0.0661966580893751,0.0674693672711266,0.141373139470719,10658.3192543404,0.835272395055124,0.0422932202395362,23.2581716376642,1.76000170616875,2836.76141525968,0.997180418480988,0.0977433678127289,0.00508371566830979,0.00485227461206995,0.0274701088608943,0.187970415078311,0.000710459914799524,0.1832111915673,0.119417280774294,0.0965430894763817,0.0140886860222676,0.00243847668233072,0.00181221186536541,0.0381423256978801,0.00225335756156877,0.00652329841606137,0.0630707032952604,0.0625101930999754,0.0216004286342163,0.00203348626732392,0.00138636417487713,-0.000999074400024959,4.57007006610456e-06,0.00042869994190795,0.0613622748655983,0.00790502490537883,0.00651370116137124,0.0019917617739852,25.9900629745455,0.00151369054513108,0.00161316178118857,0.0524089769279951,0.0114810163421159,178.916537541286,0.0623339405147608,0.364502306872057,0.0189580749062263,0.0180949902715127,0.102440894700976,0.700974924979204,0.00264943068445026,0.683226938721897,0.445328161865829,0.360026256657322,0.0525392021047578,0.00909351085248279,0.00675805857981274,0.142239478927921,0.00840316890833026,0.0243265335979098,0.235201808180091,0.233111566521975
"9",-1,0.000243770130137212,0.507627989973852,1,1,1,1000,4.02675174299702,11.2751163967011,4.06333400574175,0.0766044555684062,771.101561214653,2.94173006108566,2.6476033783027,3.38233975048277,1.14867936280091,57.7931223152336,7.43386443779401,2.06456871331556e-05,8.24319960539017,18.7568974075159,2.06933924153479,205.138178539338,0.287890441069207,0.4,0.285714285714286,-0.0363695100403193,2.43127093388638e-05,0.60341186459326,0.334926454768774,0.0661966580893751,0.0674693672711266,0.141373139470719,10658.3192543404,0.835272395055124,0.0422932202395362,23.2581716376642,1.76000170616875,2836.76141525968,0.997180418480988,0.0977402522596671,0.00508355362574598,0.00485211994665005,0.0274692332558923,0.187964423553613,0.00071043726901176,0.183205351742034,0.119413474368979,0.0965400121819857,0.0140882369478203,0.00243839895630527,0.00181215410142344,0.0381411099177993,0.00225328573618351,0.00652309048704471,0.0630686929274251,0.0625082005983063,0.0281384843332511,0.00203342145029839,0.00138631998475716,-0.000999042554700047,4.5699243959061e-06,0.00042868627717093,0.0613603189536258,0.00790477293406763,0.00651349353826543,0.00199169828692074,25.9892345457519,0.00151364229650492,0.00161311036193385,0.0524073064008566,0.0114806503866918,178.910834607381,0.0623319536311126,0.364502306872057,0.0189580749062263,0.0180949902715127,0.102440894700976,0.700974924979204,0.00264943068445026,0.683226938721897,0.445328161865829,0.360026256657322,0.0525392021047578,0.00909351085248279,0.00675805857981274,0.142239478927921,0.00840316890833026,0.0243265335979098,0.235201808180091,0.233111566521975
"10",-1,0.00766720485387664,0.381388422219273,1,1,1,1000,2.5104283749207,13.0721605426069,4.37284417586175,5.85531101787612e-05,776.496308191355,3.28243792714676,1.01765994860995,3.04685249229524,6.81968885228044,58.2676318533201,4.94024900291442,0.00252902969528901,4.18624548392913,14.6260834004393,5.04567320955302,202.315567744191,0.301731998417835,0.4,0.285714285714286,-0.0357147783242484,2.43127093388638e-05,0.736358300706524,0.408031886757761,2.10954363837359,12.4438674635399,0.225043127546272,167.899660456086,0.39176432828973,0.0257456053119601,5.76747861821991,0.701274987483482,70.2772252387895,1.81279475565034,2.2134150190462,0.211523444326456,0.152957633646243,0.0490392307683801,5.90508701831263,4.84692448694209,0.00380289891766489,3.66130429316933,2.98575353889573,0.446749869769673,0.0583269106443867,0.0378779011345047,1.19933753346089,0.0379294927583393,0.158802706156562,1.98197830669368,1.93899362877883,0.66785813702486,0.0846093777305823,0.0437021810417837,-0.00175142525608436,0.000143568664296933,3.56907307885752,0.00155170402052385,7.72368117980528,37.1543213168138,0.100537987923857,9.79306849264496,0.014839210494984,0.0308776707723037,0.218757538483649,0.111364365772286,139.287935877906,3.5149974814897,0.262441855957819,0.0250800707639305,0.0181359956951653,0.00581452037997977,0.700158796856,0.574693786341354,0.000450904977775938,0.434116279892122,0.354017070200456,0.0529705744121091,0.00691574898971948,0.00449113545719493,0.14220395429366,0.00449725261163479,0.0188290386467204,0.235000693860371,0.229904054254762
